"#",Station Name,Starts,Ends,Net Flow
1,"Waterloo Station 3, Waterloo",1289,16445,-15156
2,"Waterloo Station 1, Waterloo",2506,10013,-7507
3,"Argyle Street, Kings Cross",3174,8766,-5592
4,"Waterloo Station 2, Waterloo",1570,4578,-3008
5,"Canada Water Station, Rotherhithe",1664,3616,-1952
6,"Strata, Elephant & Castle",2544,4017,-1473
7,"Maida Vale, Maida Vale",1813,3222,-1409
8,"Gauden Road, Clapham",1614,3018,-1404
9,"Doric Way , Somers Town",1184,2531,-1347
10,"Burgess Park Albany Road, Walworth",1610,2939,-1329
