"#",Airport,PageRank Score
1,ATL Hartsfield Jackson Atlanta International Airport,0.00407131564534899
2,ORD Chicago O'Hare International Airport,0.003734277435182917
3,ISL Atatürk International Airport,0.0037107994963524824
4,DEN Denver International Airport,0.0036624439243389665
5,DFW Dallas Fort Worth International Airport,0.0036460260047072417
6,DME Domodedovo International Airport,0.003488272766133932
7,CDG Charles de Gaulle International Airport,0.0034249495517159477
8,FRA Frankfurt am Main Airport,0.0033292360838413377
9,PEK Beijing Capital International Airport,0.00327054287163982
10,AMS Amsterdam Airport Schiphol,0.0031586138416087434
